S30_C_1,S30_C_2,S30_C_3,S30_F_1,S30_F_2,S30_F_3,xenbase_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,xenbase_gene_symbol,xenbase_gene_name,xenbase_gene_synomyms,db_xrefs,log2_S30_C_1,log2_S30_C_2,log2_S30_C_3,log2_S30_F_1,log2_S30_F_2,log2_S30_F_3
498.173003676673,589.1312177634449,604.3162908587369,885.877111908773,697.7875758224925,960.0025866790552,XB-GENE-1002829,705.8812977848626,0.581201148632377,0.16082319560811045,3.613913692205396,3.016094982737446e-4,0.03396793193891861,tktl2.L,transketolase-like 2 L homeolog,NA,NCBI_Gene:379575|UniprotKB:Q9I8J7,8.96050592884587,9.202447641326602,9.239162411109474,9.790964401600581,9.446646167732416,9.90689598568604
5529.833819855187,5949.484919065309,6726.771655444132,7444.492202876526,7231.703118912399,9758.624541936528,XB-GENE-1003623,7106.818376348347,0.4159416767382376,0.10509249015188876,3.957862984663155,7.562331381179272e-5,0.01216348177803125,rps2.L,ribosomal protein S2 L homeolog,LOC108703225,NCBI_Gene:380576|UniprotKB:Q7T0R9,12.433020671426789,12.53854929861934,12.7156987849295,12.861957922779938,12.820119936570311,13.252462249717828
2122.058125000862,2611.427247141733,2617.4208776047208,3278.848065654048,3020.2603928992626,3895.279581994363,XB-GENE-1008861,2924.215715049165,0.4704925551541381,0.12226271529476304,3.848209603555984,1.1898423137034308e-4,0.01698625590379996,rpl12.S,ribosomal protein L12 S homeolog,NA,NCBI_Gene:379814|UniprotKB:Q8AVW0|UniprotKB:A0A974C3F7,11.051249137972832,11.350623348734146,11.353930762229167,11.678973776742499,11.560457699748946,11.927511535843141
1438.9142794123493,1381.3381874309855,1956.9070208444705,1029.234818815172,1040.026713828075,1251.968329561421,XB-GENE-1009967,1349.7315583154125,-0.5130350653185768,0.12564601295071223,-4.083178234392742,4.4423924438738854e-5,0.00789966487914135,itgb3.L,integrin subunit beta 3 L homeolog,cd61|gp3a,NCBI_Gene:397699|UniprotKB:Q07012,10.490765936108046,10.431851901101322,10.934360232251715,10.007357855482095,10.022406257326157,10.28998350457509
823.8578602944523,584.9004729321096,1081.6106861866565,488.8865389372067,543.7799637199806,438.54936688092,XB-GENE-1013319,660.2641481585542,-0.7210299797336401,0.19986513393738337,-3.607582600972989,3.0906316100266486e-4,0.03442488131783528,fgfbp2.L,fibroblast growth factor binding protein 2 L homeolog,NA,NCBI_Gene:100381073|UniprotKB:A0A1L8HTI9,9.686253392481733,9.192049811934462,10.078966928961812,8.93335882330117,9.086881837225137,8.77659873341734
1269.8305036769864,2041.3343811192972,1221.7196861054974,1988.628703496457,2730.3077898667557,2004.1105313900673,XB-GENE-1017145,1875.9885992758436,0.5925242157660443,0.12182489935038518,4.86373655078395,1.151902115240475e-6,3.335908525736416e-4,camk1.L,calcium/calmodulin-dependent protein kinase I L homeolog,CaM-KIa|CaM-KIalpha|camkI,NCBI_Gene:398402|UniprotKB:Q8AYR2|UniprotKB:A0A1L8GPX6|UniprotKB:A0A8J0UYS5|UniprotKB:A0A974D857,10.310421360449402,10.995297514033288,10.25469877372174,10.957558946120617,11.41484840958623,10.968747083268044
36.31329411766181,69.80728971703296,56.19756590151312,184.7108915909371,121.68502684642922,308.7868144887574,XB-GENE-1216193,129.58348044372195,1.873046874839054,0.34534900817922326,5.423634730310308,5.8399159704819034e-8,3.2885215709335865e-5,sp8.L,Sp8 transcription factor L homeolog,btd,NCBI_Gene:495143|UniprotKB:Q5XGT8|UniprotKB:A0A1L8FVZ9|UniprotKB:A0A8J0VF23,5.182465631909533,6.125326461172288,5.812461410508416,7.529132938536977,6.927019703292739,8.270472011281269
0,1.0576862078338327,5.38880768918619,287.63437347245434,62.74384196769007,380.8771213732922,XB-GENE-1217530,122.95030511840945,6.967900820759975,1.0531984524920337,6.615942896870786,3.691908720932309e-11,6.236864465894981e-8,vwde.L,von Willebrand factor D and EGF domains L homeolog,NA,NCBI_Gene:100381008|UniprotKB:A0A1L8FVU5,-9.965784284662087,0.08227504118488388,2.4302337978744353,8.168097299471011,5.971424959950863,8.5731856079127855
1025.850558823946,964.6098215444556,963.8267466944442,725.9781311285589,754.8274321567562,639.2007210428752,XB-GENE-17330676,845.7155685651727,-0.4812952818832291,0.1393212276014316,-3.4545725024768843,5.511659996071061e-4,0.04907394593988522,myl9.S,myosin light chain 9 S homeolog,NA,NCBI_Gene:447704|UniprotKB:Q641H1|UniprotKB:A0A974BT87,10.002606272096337,9.913803184926314,9.912631523787134,9.503784267127893,9.560004955796037,9.32012748248473
18.156647058830902,101.53787595204794,1023.873460945376,7.351677277251229,35.174578072795946,141.7776035395851,XB-GENE-17331797,221.31197380764783,-2.0987769417638797,0.3304199164025209,-6.351847566013934,2.1274408759720708e-10,2.395971190983657e-7,chga.L,chromogranin A L homeolog,chromogranin A,NCBI_Gene:495343|UniprotKB:A0A1L8F9I6|UniprotKB:A0A8J0TI53|UniprotKB:A0A974H887,4.182505359383584,6.665888384230237,9.999823119458517,2.8782696637336196,5.136502227685436,7.147496015042742
352.91982720602573,262.3061795427905,315.630164652334,164.49377907849623,177.7742189084552,169.41222117865678,XB-GENE-17331810,240.4227317611264,-0.8542112119970271,0.21815064265315712,-3.915694226742012,9.01444392398352e-5,0.01378958289898399,ehd2.S,EH domain containing 2 S homeolog,NA,NCBI_Gene:398546|UniprotKB:Q6GQG5,8.463200761349512,8.035113485555383,8.302095850353048,7.361897984573577,7.473910422550003,7.404402658214502
49.93077941178499,34.90364485851648,98.5381977451189,160.81794043987065,50.385206428599595,283.5552070791702,XB-GENE-17332466,113.0218293271768,1.2897381220455617,0.3261718959509891,3.954166922582928,7.680177918251778e-5,0.01216348177803125,acp5.L,"acid phosphatase 5, tartrate resistant L homeolog",TRAP-5b,NCBI_Gene:444356|UniprotKB:Q6GNG2,5.641886415591315,5.125347127553224,6.62262582091284,7.329293519609315,5.654956934948333,8.147490927189043
20.42622794118477,14.80760690967366,12.317274718139862,165.41273873815263,55.13852778978824,120.15051147422466,XB-GENE-17333315,64.70881459519397,2.7617881165963243,0.437114100078059,6.318231592399169,2.64573322930055e-10,2.681715201219037e-7,fzd7.S,frizzled class receptor 7 S homeolog,Fz-7|Xfz7|frizzled 7|frizzled-7|frizzled7|frz-7|frz7|fz7,NCBI_Gene:108703060|UniprotKB:A0A1L8EPZ4|UniprotKB:Q8AVJ9|UniprotKB:A0A974H1E5,4.352421532592871,3.8883640232226617,3.6227283030400956,7.369935254914211,5.785015007171123,6.908710987078564
